eps_num,iter,critic_loss,actor_loss,csc_samples_neg,csc_samples_pos,train_acc,snap_iter,beta_score,main_critic_loss,main_actor_loss,main_beta_score,main_prox_critic,main_prox_actor,main_avg_prox_coef,tidx,avg_rewards,one_raw_reward
1600,80000,0.015419115946860984,0.012356038950383664,200,280,0.8770833333333333,10,1.0,0.0051317901183210776,0.000459413102569215,0.20276299,0.01241752818772511,0.017890475297881493,0.1,40,1.961397581634489,0.7728471679478683
1600,80000,0.03285838607698679,-0.0202965522184968,200,280,0.93125,10,1.0,0.0035453234571468785,4.090649531917734e-05,0.09994463,0.016304093728176667,0.016603001714202037,0.1,41,4.554831540595594,4.174561882684719
1600,80000,0.03735226239077747,-0.015827248245477675,200,280,0.9416666666666667,10,1.0,0.0029692254588735523,-6.487795943144192e-05,0.11717944,0.014346070408573724,0.01599833080256303,0.1,42,5.75907289236713,2.407885350494396
1600,80000,0.05457659899257124,-0.046873587369918826,200,280,0.9395833333333333,10,1.0,0.0032838767472276233,-0.0005726743320656169,0.1092365,0.02322946222826431,0.01689915066658614,0.1,43,8.29551448374805,9.540534758881368
1600,80000,0.41061743944883344,-0.08132167831063271,200,280,0.9104166666666667,10,1.0,0.004311031655379338,-0.0013041305197748444,0.15524991,0.03626760046907293,0.01849668255639699,0.1,44,4.168666054690256,19.65190152696473
1600,80000,0.11775774220004678,-0.05818694606423378,200,280,0.9041666666666667,10,1.0,0.00565848668324179,-0.0010734825596227893,0.19365148,0.029875814102269943,0.01855856833521102,0.1,45,14.943115038539492,12.134350681323065
1600,80000,0.03386947500985116,0.0011702399700880052,200,280,0.9458333333333333,10,1.0,0.001232770576625626,0.000993134477175772,0.08260189,0.010979822222579969,0.016605516845734202,0.1,46,5.715619490073226,0.0
1600,80000,0.012444443040294573,0.016695952462032437,200,280,0.8666666666666667,10,1.0,0.007177948301978177,0.00045235626110752493,0.23054548,0.011544925006310222,0.019287662667939003,0.1,47,0.6083363070886252,0.6220880870576948
1600,80000,0.011254431109409779,0.021944979764521123,200,280,0.9,10,1.0,0.00705853501931415,-0.0013788615171506536,0.22767642,0.00949472289197729,0.018388049885816146,0.1,48,0.4979816519308086,0.6943693656792469
1600,80000,0.005563833995256573,0.03305246033705771,200,280,0.85,10,1.0,0.012025880664295982,-0.0027813011620992254,0.43314773,0.009270049872284289,0.012642328571564576,0.1,49,4.84022262302727,1.2759461956071034
1650,90000,1.7079632693901659,-0.4199444890022278,200,280,0.8458333333333333,10,1.0,0.006717039600698626,-0.10473220741376281,0.31290635,0.15152682896179612,0.016875299033235935,0.1,40,13.423124366523648,25.816854217241616
1650,90000,0.09473178051412105,-1.294862186908722,200,280,0.5104166666666666,10,1.0,0.010261813035176601,-0.20837277475744487,0.6879542,0.020155357508920134,0.00912200533792202,0.1,41,7.7754028815125595,18.103937624532776
1650,90000,0.851047511678189,-0.27369285821914674,200,280,0.7916666666666666,10,1.0,0.00801265972229885,-0.11322207055985928,0.5132741,0.05617314970935695,0.004776160392848397,0.1,42,23.584435811807225,20.653762092480704
1650,90000,0.043345712637528774,-0.8254539728164673,200,280,0.5041666666666667,10,1.0,0.009712860183790327,-0.19736248008906843,0.67915916,0.017955545475706457,0.007478502031772223,0.1,43,28.281334967180076,11.263356863595092
1650,90000,0.09121287614107132,-0.7257860720157623,200,280,0.7458333333333333,10,1.0,0.009239341755455826,-0.15652292490005493,0.65580845,0.04453846944787074,0.006835647584339312,0.1,44,15.817446391329353,39.2423966062026
1650,90000,18.0155803643167,-1.434018337726593,200,280,0.5666666666666667,10,1.0,0.01565418977115769,-0.2076917366310954,0.6450866,0.2602212437894195,0.007980417011895042,0.1,45,9.118415886387309,66.79891978507443
1650,90000,0.0012585550051881001,-0.27245636880397794,200,280,0.81875,10,1.0,0.0025070743513060734,-0.11853776274248957,0.39710507,0.007802008417493198,0.011781765063133207,0.1,46,31.210803458026337,1.9049172701000094
1650,90000,0.0019163898687111214,-0.2682242184877396,200,280,0.9395833333333333,10,1.0,0.0005693540646097972,-0.0734789574611932,0.23418441,0.00486680836067535,0.015659136286431022,0.1,47,57.618585042079324,1.8727347823467175
1650,90000,0.024204519169870764,-0.44527360796928406,200,280,0.8125,10,1.0,0.009855189285590314,-0.16197529831901192,0.69965017,0.03398323368630372,0.0051755365130884455,0.1,48,18.52252224278901,18.47432534420872
1650,90000,0.004067870427388698,-0.16952837035059928,200,280,0.825,10,1.0,0.006792805392760784,-0.11787076754495501,0.5791508,0.012751831784844398,0.007577880043991172,0.1,49,58.17112142206345,2.0758857303508917
1700,100000,0.06836586445569992,-1.8737520217895507,200,280,0.5520833333333334,10,1.0,0.0195527878543362,-0.3902326910197735,0.634323,0.025296893292106687,0.006417772003042046,0.1,40,55.035548877334634,14.715456086437223
1700,100000,0.07740468028932809,-1.8941908478736877,200,280,0.5875,10,1.0,0.0228428688790882,-0.38539815835654734,0.62600726,0.03554337890120223,0.009004295639460907,0.1,41,11.43615624917012,23.44828073979351
1700,100000,0.09550785534083843,-1.6089235424995423,200,280,0.6125,10,1.0,0.02422600394813344,-0.37566724307835103,0.61520326,0.039012518549570815,0.01331246759626083,0.1,42,10.281973545048722,21.038735355284935
1700,100000,1.763595661520958,-2.380448341369629,200,280,0.65625,10,1.0,0.025136615454684944,-0.3591050163656473,0.567866,0.17133467303588987,0.012265603487903717,0.1,43,48.15339752347571,83.19172098330883
