actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
0.019617510301759466,50,80000,0.03983513496350497,1600,2.5898693515721187,50.0,1.829282275,1139,80000,1,80000
-0.03547740950365551,200,82000,0.02619410203769803,1610,1.4176013905016076,200.0,8.7409184,10,82000,1,82000
-0.13620001405477525,200,84000,0.021892228851211257,1620,3.410756438213033,200.0,3.0825952,10,84000,1,84000
-0.1918500966578722,200,86000,0.023437993037514388,1630,15.804851107072247,200.0,10.375646,10,86000,1,86000
-0.238529454767704,200,88000,0.021112164934165775,1640,3.3585866802038495,200.0,6.855050800000001,10,88000,1,88000
-0.2733377815783024,200,90000,0.01481328728434164,1650,12.92705164281828,200.0,9.0804218,10,90000,1,90000
-0.3145664868503809,200,92000,0.041764670404372733,1660,4.299743311518182,200.0,11.447196799999999,5,92000,1,92000
-0.3535188652575016,200,94000,0.01460453389212489,1670,10.725415531194894,200.0,11.1399856,5,94000,1,94000
-0.392663701325655,200,96000,0.0440520494512748,1680,7.559421940760531,200.0,9.116733799999999,5,96000,1,96000
-0.42787837341427803,200,98000,0.033166416917229075,1690,6.219719018473703,200.0,7.716748399999998,5,98000,1,98000
-0.48025804907083514,100,100000,0.015742496906314046,1700,0.07413469855171852,200.0,6.851994199999998,5,100000,1,100000
