actor_loss,adjusted_no_steps,buffer_size,critic_loss,episode_num,episode_reward,eplenmean,eprewmean,fps,nupdates,sampling_loop,total_timesteps
0.3319091796875,9,80001,1.1992451747258503,8610,-3.811070565332792,10.325,-0.324439125,1799,80001,1,80001
0.2665706276893616,5,80051,0.9479702115058899,8620,0.5578167274842386,5.0,-1.5840656,35,80051,1,80051
-0.55947530540553,99,80578,0.33057728981730916,8630,153.27123305871632,99.8,63.6012064,35,80578,1,80578
-0.8956369167566299,100,81534,0.285181660503149,8640,195.57845969409632,100.4,160.51011639999996,36,81534,1,81534
-1.054167182104928,35,81925,0.33573093925203595,8650,-6.9042874164853805,35.8,-5.7788746,36,81925,1,81925
-1.1118819378316402,48,82381,0.38935624932249385,8660,-19.345294085731567,48.4,-10.218233399999999,36,82381,1,82381
-1.2579304254972017,39,82781,0.4129828955882635,8670,-21.242925875659502,39.0,-18.6820384,36,82781,1,82781
-1.5698197603225708,110,83633,0.4516283252022483,8680,146.67347834678617,110.4,100.0724528,37,83633,1,83633
-1.9365617903796108,99,84625,0.5341662875931672,8690,57.44992027494579,99.8,113.5829802,37,84625,1,84625
-2.4782749782098787,107,85701,0.6117196478576303,8700,39.73299213109112,107.8,97.9902898,37,85701,1,85701
-3.1405346000078813,103,86801,0.6841952028205094,8710,155.63856449846642,103.8,142.3857534,38,86801,1,86801
-3.8008661914516138,111,88063,0.7754208526095828,8720,181.1397822140265,111.8,126.13865000000001,38,88063,1,88063
-4.348967081970638,108,89078,0.8058189793869301,8730,40.31210326681252,108.8,122.431451,39,89078,1,89078
-4.923909654422682,98,90144,0.9129047290403016,8740,45.83499835188763,98.2,87.5805486,39,90144,1,90144
-5.403324665025223,86,91054,1.0025057986725208,8750,22.865575490558523,86.8,54.09613619999999,20,91054,1,91054
-5.8037704350996995,98,92041,1.1154504491358388,8760,183.06355569553236,98.6,88.9493608,20,92041,1,92041
-6.267743084165785,108,93052,1.2320231110961348,8770,28.606929478551205,108.8,75.32550619999999,20,93052,1,93052
-6.638481861836201,111,94083,1.3944601615269978,8780,165.2723253496182,111.6,125.701358,20,94083,1,94083
-7.054258185825991,89,95022,1.5954828610580958,8790,63.39429122044189,89.8,79.13250280000001,20,95022,1,95022
-7.505670838651404,113,96307,1.7162586313433352,8800,174.9575060404327,113.6,127.97950399999999,20,96307,1,96307
